date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:07	14701/14701	---MCZ	200	added ('OK')	text/html	etag:W/%223969-BcS6C4tDHZbNJGy9OMwkZA%22	http://www.gotokeep.com/plans/58b007004d123d21035a50c4	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58b007004d123d21035a50c4.html	(from http://www.gotokeep.com/workouthashtags/58be13d2837258bc1a58800b)
13:19:07	16422/16422	---MCZ	200	added ('OK')	text/html	etag:W/%224022-9Zc64AGF+I+71v7W2j+tEw%22	http://www.gotokeep.com/plans/58be8b3b08c89ec56417415c	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58be8b3b08c89ec56417415c.html	(from http://www.gotokeep.com/workouthashtags/575e78608d892b6a7356bf2d)
13:19:07	19811/19811	---MCZ	200	added ('OK')	text/html	etag:W/%224d2f-tBYlg6p8GO0AUyPXZaWl2Q%22	http://www.gotokeep.com/plans/574ec490a65b046c1bfe6571	D:/HTTrack/gotokeep/www.gotokeep.com/plans/574ec490a65b046c1bfe6571.html	(from http://www.gotokeep.com/workouthashtags/575e78608d892b6a7356bf2d)
13:19:08	17348/17348	---MCZ	200	added ('OK')	text/html	etag:W/%22439c-AygvBu+lOzv52nuF6oKDDg%22	http://www.gotokeep.com/plans/574ee882a65b046c1bfe6667	D:/HTTrack/gotokeep/www.gotokeep.com/plans/574ee882a65b046c1bfe6667.html	(from http://www.gotokeep.com/workouthashtags/575e78608d892b6a7356bf2d)
13:19:08	17581/17581	---MCZ	200	added ('OK')	text/html	etag:W/%22449b-ZAva6wwRPGNzEX3X1dgzlg%22	http://www.gotokeep.com/plans/57a3543e3c00ccd552afd63f	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57a3543e3c00ccd552afd63f.html	(from http://www.gotokeep.com/workouthashtags/575e78608d892b6a7356bf2d)
13:19:08	18186/18186	---MCZ	200	added ('OK')	text/html	etag:W/%224701-0UBTAy5sZTBrjjartKlOww%22	http://www.gotokeep.com/plans/57a358883c00ccd552afd71e	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57a358883c00ccd552afd71e.html	(from http://www.gotokeep.com/workouthashtags/575e78608d892b6a7356bf2d)
13:19:09	17592/17592	---MCZ	200	added ('OK')	text/html	etag:W/%2244b5-KNYo6gwDpwZFUkJlJoPe3w%22	http://www.gotokeep.com/plans/58a68dcd6506c1cd2a9a329f	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58a68dcd6506c1cd2a9a329f.html	(from http://www.gotokeep.com/workouthashtags/58b3a7564d123d21035a559f)
13:19:09	16641/16641	---MCZ	200	added ('OK')	text/html	etag:W/%2240fa-U+BrC1fyDMWjVk4TZp2ndw%22	http://www.gotokeep.com/plans/58a673fe04f744913f48c8d1	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58a673fe04f744913f48c8d1.html	(from http://www.gotokeep.com/workouthashtags/58b3a7564d123d21035a559f)
13:19:09	16169/16169	---MCZ	200	added ('OK')	text/html	etag:W/%223ef2-jqYmi9tPQihLGNVAZbDhwg%22	http://www.gotokeep.com/plans/54afac5de06249cb13904c29	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54afac5de06249cb13904c29.html	(from http://www.gotokeep.com/workouthashtags/58b3a7564d123d21035a559f)
13:19:10	19790/19790	---MCZ	200	added ('OK')	text/html	etag:W/%224d07-rD3uOK3GZdNiqEtnJiRNKg%22	http://www.gotokeep.com/plans/55e2ba1303037f4ef8085aa7	D:/HTTrack/gotokeep/www.gotokeep.com/plans/55e2ba1303037f4ef8085aa7.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:10	19506/19506	---MCZ	200	added ('OK')	text/html	etag:W/%224bfb-tblS/Tyzct1VJ1Fw+rTKqg%22	http://www.gotokeep.com/plans/55e3022deb2ce0ccf866d291	D:/HTTrack/gotokeep/www.gotokeep.com/plans/55e3022deb2ce0ccf866d291.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:10	15432/15432	---MCZ	200	added ('OK')	text/html	etag:W/%223c34-ZmYf6pL6xMFxhOOgOn0PhA%22	http://www.gotokeep.com/plans/54af9eea35fb7f5912e3c6bd	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54af9eea35fb7f5912e3c6bd.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:11	15452/15452	---MCZ	200	added ('OK')	text/html	etag:W/%223c2e-ueZCepC5WumHrdwS9GU2tQ%22	http://www.gotokeep.com/plans/54afac01e06249cb13904c17	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54afac01e06249cb13904c17.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:11	18630/18630	---MCZ	200	added ('OK')	text/html	etag:W/%224890-6t4vDU4I7himWXqULZNHHg%22	http://www.gotokeep.com/plans/5704aafd9ed3cfeafb557bf9	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5704aafd9ed3cfeafb557bf9.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:11	20715/20715	---MCZ	200	added ('OK')	text/html	etag:W/%2250b0-Zn/vc4/o/yIt8qToIWbwuQ%22	http://www.gotokeep.com/plans/54af894d5c5f72d2058c5d85	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54af894d5c5f72d2058c5d85.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:12	16147/16147	---MCZ	200	added ('OK')	text/html	etag:W/%223ef7-1tzwBjWKiDN9rWEFLYA/kg%22	http://www.gotokeep.com/plans/56d415419f0274a548831890	D:/HTTrack/gotokeep/www.gotokeep.com/plans/56d415419f0274a548831890.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:12	15596/15596	---MCZ	200	added ('OK')	text/html	etag:W/%223cd0-QkItG7g875Ix6n5yO+PR9g%22	http://www.gotokeep.com/plans/55d2c17b70ca0cae6906239d	D:/HTTrack/gotokeep/www.gotokeep.com/plans/55d2c17b70ca0cae6906239d.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:12	20013/20013	---MCZ	200	added ('OK')	text/html	etag:W/%224df9-FlM1q7uUXyfDcRsDFDQUdQ%22	http://www.gotokeep.com/plans/55e5739c88d3525942226cfe	D:/HTTrack/gotokeep/www.gotokeep.com/plans/55e5739c88d3525942226cfe.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:13	15433/15433	---MCZ	200	added ('OK')	text/html	etag:W/%223c2d-E6zxQgLCBCpeTeTQzkc1Jw%22	http://www.gotokeep.com/plans/55e3197951a7a05af865a019	D:/HTTrack/gotokeep/www.gotokeep.com/plans/55e3197951a7a05af865a019.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:13	19548/19548	---MCZ	200	added ('OK')	text/html	etag:W/%224c26-JERp7AWX9g7UUjqBAjFMUw%22	http://www.gotokeep.com/plans/56c2f6f999ca8d1f0603ab0d	D:/HTTrack/gotokeep/www.gotokeep.com/plans/56c2f6f999ca8d1f0603ab0d.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:14	19820/19820	---MCZ	200	added ('OK')	text/html	etag:W/%224d24-p4IHGrM2zsJX8APpt7MYqQ%22	http://www.gotokeep.com/plans/5704cc6194719391cf6cb4f7	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5704cc6194719391cf6cb4f7.html	(from http://www.gotokeep.com/workouthashtags/5682551dd1d20e1f26f2a7ed)
13:19:14	18695/18695	---MCZ	200	added ('OK')	text/html	etag:W/%2248cd-SpxcqQf20EINahxw8JL9Yg%22	http://www.gotokeep.com/plans/56cc466a8c0a0d4eb6ec5727	D:/HTTrack/gotokeep/www.gotokeep.com/plans/56cc466a8c0a0d4eb6ec5727.html	(from http://www.gotokeep.com/workouthashtags/56825592922d204caab2061f)
13:19:15	20491/20491	---MCZ	200	added ('OK')	text/html	etag:W/%224fbd-NF2he2hi6XXdXQA7yAxkDA%22	http://www.gotokeep.com/plans/570cdc40f80299d3b28ef315	D:/HTTrack/gotokeep/www.gotokeep.com/plans/570cdc40f80299d3b28ef315.html	(from http://www.gotokeep.com/workouthashtags/56825592922d204caab2061f)
13:19:15	17029/17029	---MCZ	200	added ('OK')	text/html	etag:W/%224267-lZVrnRywaC+0m/eN02F+cQ%22	http://www.gotokeep.com/plans/56cd1ec5a2fa790037a30e9a	D:/HTTrack/gotokeep/www.gotokeep.com/plans/56cd1ec5a2fa790037a30e9a.html	(from http://www.gotokeep.com/workouthashtags/56825592922d204caab2061f)
13:19:15	15835/15835	---MCZ	200	added ('OK')	text/html	etag:W/%223dc7-DUiFvWbQaKDiKHf52h6LZA%22	http://www.gotokeep.com/plans/54afa87035fb7f5912e3c70c	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54afa87035fb7f5912e3c70c.html	(from http://www.gotokeep.com/workouthashtags/56825592922d204caab2061f)
13:19:16	16653/16653	---MCZ	200	added ('OK')	text/html	etag:W/%2240f1-8JEX0eQsQJBs0s/2cUhZ/Q%22	http://www.gotokeep.com/plans/54afa35c35fb7f5912e3c6de	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54afa35c35fb7f5912e3c6de.html	(from http://www.gotokeep.com/workouthashtags/56825592922d204caab2061f)
13:19:16	18805/18805	---MCZ	200	added ('OK')	text/html	etag:W/%22494b-LRGKl6G3wPNhbjcwkkv/hQ%22	http://www.gotokeep.com/plans/561dfd0ecb8121aec097176a	D:/HTTrack/gotokeep/www.gotokeep.com/plans/561dfd0ecb8121aec097176a.html	(from http://www.gotokeep.com/workouthashtags/5833bda5424de3aa33fa27c4)
13:19:16	18751/18751	---MCZ	200	added ('OK')	text/html	etag:W/%22491f-MqbEk/XatwoPVlwVGt0d8Q%22	http://www.gotokeep.com/plans/5768f8f49b9545d310d19319	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5768f8f49b9545d310d19319.html	(from http://www.gotokeep.com/workouthashtags/5833bda5424de3aa33fa27c4)
